name,value
FBtr0339932.1,Sodh-1
FBtr0081628.1,CG1979
FBtr0089741.1,dj
FBtr0089742.1,dj
FBtr0305962.1,dj
FBtr0081631.1,djl
FBtr0081633.1,CG1988
FBtr0300905.1,CG1988
FBtr0300904.1,CG1988
FBtr0081645.1,CG1105
FBtr0334667.1,CG1965
FBtr0305315.1,CG1965
FBtr0081634.1,CG1965
FBtr0305316.1,CG1104
FBtr0081643.1,CG1104
FBtr0346979.1,CR45908
FBtr0081635.1,CG1943
FBtr0334668.1,CG1943
FBtr0081636.1,CG1943
FBtr0081637.1,CG1943
FBtr0081642.1,Ref1
FBtr0081638.1,Dpck
FBtr0081640.1,CG1091
FBtr0081641.1,CG1091
FBtr0333326.1,CG1091
FBtr0346978.1,CR45907
FBtr0081639.1,alphaTub84B
FBtr0310485.1,CR43685
FBtr0310486.1,CR43685
FBtr0344948.1,e(y)2b
FBtr0081562.1,e(y)2b
